Unnamed: 0,choice,num_dots,green_dots,blue_dots,is_practice,payout_condition,front_end_condition,is_asocial,randomization_color,proportion_green,generation,network_id,front_end_node_id,current_bonus_points,current_bonus_dollars,participant_id,green_button_left,stimulus_id,condition_replication,utility_payout,chose_correct,true_color,chose_utility,proportion_utility,trial,base_pay,resampling_condition,node_table_id,condition,participant_status,hit_id,k_chose_green,k_chose_green_tie,k_chose_utility,green_first
13,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,19,2,98,0.098,2,True,stimulus-7,18,True,True,green,False,0.48,13,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
14,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,19,2,98,0.098,2,True,stimulus-15,18,True,True,green,False,0.48,11,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
15,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,19,2,99,0.099,2,True,stimulus-12,18,True,True,green,False,0.49,15,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
16,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,19,2,98,0.098,2,True,stimulus-11,18,True,True,green,False,0.48,16,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
17,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,19,2,51,0.051,2,True,stimulus-17,18,True,False,blue,False,0.51,17,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
18,green,100,52,48,False,green,asocial-none,True,green,0.52,1,25,23,102,0.102,23,True,stimulus-15,4,True,True,green,True,0.52,4,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
19,blue,100,47,53,True,green,asocial-none,True,green,0.47,1,25,23,97,0.097,23,True,stimulus-1,4,True,True,blue,False,0.47,1,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
20,green,100,53,47,True,green,asocial-none,True,green,0.53,1,25,23,103,0.103,23,True,stimulus-0,4,True,True,green,True,0.53,0,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
21,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,25,23,99,0.099,23,True,stimulus-17,4,True,True,blue,False,0.49,2,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
22,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,25,23,99,0.099,23,True,stimulus-5,4,True,True,blue,False,0.49,3,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
23,green,100,48,52,False,green,asocial-none,True,green,0.48,1,25,23,48,0.048,23,True,stimulus-10,4,True,False,blue,True,0.48,5,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
24,blue,100,51,49,False,green,asocial-none,True,green,0.51,1,25,23,51,0.051,23,True,stimulus-12,4,True,False,green,False,0.51,6,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
25,green,100,51,49,False,green,asocial-none,True,green,0.51,1,25,23,101,0.101,23,True,stimulus-8,4,True,True,green,True,0.51,7,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
26,green,100,49,51,False,green,asocial-none,True,green,0.49,1,25,23,49,0.049,23,True,stimulus-13,4,True,False,blue,True,0.49,8,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
27,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,25,23,99,0.099,23,True,stimulus-9,4,True,True,blue,False,0.49,9,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
28,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,25,23,98,0.098,23,True,stimulus-2,4,True,True,blue,False,0.48,10,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
29,green,100,48,52,False,green,asocial-none,True,green,0.48,1,25,23,48,0.048,23,True,stimulus-14,4,True,False,blue,True,0.48,11,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
30,blue,100,51,49,False,green,asocial-none,True,green,0.51,1,25,23,51,0.051,23,True,stimulus-4,4,True,False,green,False,0.51,12,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
31,blue,100,51,49,False,green,asocial-none,True,green,0.51,1,25,23,51,0.051,23,True,stimulus-16,4,True,False,green,False,0.51,15,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
32,green,100,52,48,False,green,asocial-none,True,green,0.52,1,25,23,102,0.102,23,True,stimulus-11,4,True,True,green,True,0.52,13,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
33,green,100,52,48,False,green,asocial-none,True,green,0.52,1,25,23,102,0.102,23,True,stimulus-3,4,True,True,green,True,0.52,14,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
34,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,25,23,98,0.098,23,True,stimulus-6,4,True,True,blue,False,0.48,16,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
35,green,100,52,48,False,green,asocial-none,True,green,0.52,1,25,23,102,0.102,23,True,stimulus-7,4,True,True,green,True,0.52,17,1.4,none,23,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
36,green,100,47,53,True,green,asocial-none,True,green,0.47,1,22,8,47,0.047,8,True,stimulus-1,1,True,False,blue,True,0.47,0,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
37,green,100,53,47,True,green,asocial-none,True,green,0.53,1,22,8,103,0.103,8,True,stimulus-0,1,True,True,green,True,0.53,1,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
38,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,22,8,98,0.098,8,True,stimulus-14,1,True,True,blue,False,0.48,4,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
39,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,22,8,98,0.098,8,True,stimulus-2,1,True,True,blue,False,0.48,2,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
40,green,100,52,48,False,green,asocial-none,True,green,0.52,1,22,8,102,0.102,8,True,stimulus-7,1,True,True,green,True,0.52,3,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
41,green,100,52,48,False,green,asocial-none,True,green,0.52,1,22,8,102,0.102,8,True,stimulus-3,1,True,True,green,True,0.52,7,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
42,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,22,8,99,0.099,8,True,stimulus-9,1,True,True,blue,False,0.49,8,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
43,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,22,8,98,0.098,8,True,stimulus-6,1,True,True,blue,False,0.48,5,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
44,blue,100,48,52,False,green,asocial-none,True,green,0.48,1,22,8,98,0.098,8,True,stimulus-10,1,True,True,blue,False,0.48,6,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
45,green,100,52,48,False,green,asocial-none,True,green,0.52,1,22,8,102,0.102,8,True,stimulus-11,1,True,True,green,True,0.52,9,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
46,green,100,51,49,False,green,asocial-none,True,green,0.51,1,22,8,101,0.101,8,True,stimulus-16,1,True,True,green,True,0.51,10,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
47,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,22,8,99,0.099,8,True,stimulus-5,1,True,True,blue,False,0.49,11,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
48,blue,100,52,48,False,green,asocial-none,True,green,0.52,1,22,8,52,0.052,8,True,stimulus-15,1,True,False,green,False,0.52,12,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
49,green,100,51,49,False,green,asocial-none,True,green,0.51,1,22,8,101,0.101,8,True,stimulus-8,1,True,True,green,True,0.51,14,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
50,green,100,51,49,False,green,asocial-none,True,green,0.51,1,22,8,101,0.101,8,True,stimulus-12,1,True,True,green,True,0.51,13,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
51,blue,100,49,51,False,green,asocial-none,True,green,0.49,1,22,8,99,0.099,8,True,stimulus-13,1,True,True,blue,False,0.49,15,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
52,green,100,49,51,False,green,asocial-none,True,green,0.49,1,22,8,49,0.049,8,True,stimulus-17,1,True,False,blue,True,0.49,16,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
53,blue,100,51,49,False,green,asocial-none,True,green,0.51,1,22,8,51,0.051,8,True,stimulus-4,1,True,False,green,False,0.51,17,1.4,none,8,ASO:oversampling:N-R:G,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
54,green,100,53,47,True,blue,asocial-none,True,blue,0.53,1,4,12,97,0.097,12,False,stimulus-0,3,True,True,green,False,0.47,0,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
55,green,100,47,53,True,blue,asocial-none,True,blue,0.47,1,4,12,53,0.053,12,False,stimulus-1,3,True,False,blue,False,0.53,1,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
56,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,12,102,0.102,12,False,stimulus-14,3,True,True,blue,True,0.52,2,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
57,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,12,52,0.052,12,False,stimulus-6,3,True,False,blue,False,0.52,3,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
58,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,12,102,0.102,12,False,stimulus-10,3,True,True,blue,True,0.52,4,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
59,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,12,51,0.051,12,False,stimulus-13,3,True,False,blue,False,0.51,5,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
60,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,12,98,0.098,12,False,stimulus-7,3,True,True,green,False,0.48,12,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
61,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,12,99,0.099,12,False,stimulus-4,3,True,True,green,False,0.49,6,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
62,blue,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,12,48,0.048,12,False,stimulus-15,3,True,False,green,True,0.48,9,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
63,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,12,49,0.049,12,False,stimulus-8,3,True,False,green,True,0.49,7,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
64,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,12,98,0.098,12,False,stimulus-11,3,True,True,green,False,0.48,8,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
65,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,12,51,0.051,12,False,stimulus-9,3,True,False,blue,False,0.51,10,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
66,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,12,49,0.049,12,False,stimulus-12,3,True,False,green,True,0.49,11,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
67,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,12,102,0.102,12,False,stimulus-2,3,True,True,blue,True,0.52,13,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
68,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,12,51,0.051,12,False,stimulus-5,3,True,False,blue,False,0.51,15,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
69,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,12,98,0.098,12,False,stimulus-3,3,True,True,green,False,0.48,14,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
70,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,12,51,0.051,12,False,stimulus-17,3,True,False,blue,False,0.51,16,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
71,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,12,49,0.049,12,False,stimulus-16,3,True,False,green,True,0.49,17,1.4,none,12,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
72,blue,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,13,101,0.101,13,True,stimulus-13,3,True,True,blue,True,0.51,15,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
73,green,100,47,53,True,blue,asocial-none,True,blue,0.47,1,4,13,53,0.053,13,True,stimulus-1,3,True,False,blue,False,0.53,0,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
74,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,13,99,0.099,13,True,stimulus-8,3,True,True,green,False,0.49,3,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
75,green,100,53,47,True,blue,asocial-none,True,blue,0.53,1,4,13,97,0.097,13,True,stimulus-0,3,True,True,green,False,0.47,1,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
76,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,13,52,0.052,13,True,stimulus-6,3,True,False,blue,False,0.52,2,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
77,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,13,51,0.051,13,True,stimulus-5,3,True,False,blue,False,0.51,4,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
78,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,13,99,0.099,13,True,stimulus-16,3,True,True,green,False,0.49,10,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
79,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,13,52,0.052,13,True,stimulus-14,3,True,False,blue,False,0.52,6,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
80,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,13,102,0.102,13,True,stimulus-2,3,True,True,blue,True,0.52,5,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
81,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,13,98,0.098,13,True,stimulus-3,3,True,True,green,False,0.48,9,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
82,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,13,99,0.099,13,True,stimulus-12,3,True,True,green,False,0.49,7,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
83,blue,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,13,101,0.101,13,True,stimulus-9,3,True,True,blue,True,0.51,8,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
84,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,13,98,0.098,13,True,stimulus-15,3,True,True,green,False,0.48,12,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
85,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,4,13,52,0.052,13,True,stimulus-10,3,True,False,blue,False,0.52,11,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
86,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,4,13,51,0.051,13,True,stimulus-17,3,True,False,blue,False,0.51,14,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
87,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,13,98,0.098,13,True,stimulus-11,3,True,True,green,False,0.48,13,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
88,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,4,13,98,0.098,13,True,stimulus-7,3,True,True,green,False,0.48,16,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
89,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,4,13,49,0.049,13,True,stimulus-4,3,True,False,green,True,0.49,17,1.4,none,13,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
90,blue,100,47,53,True,blue,asocial-none,True,blue,0.47,1,3,11,103,0.103,11,True,stimulus-1,2,True,True,blue,True,0.53,0,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
91,green,100,53,47,True,blue,asocial-none,True,blue,0.53,1,3,11,97,0.097,11,True,stimulus-0,2,True,True,green,False,0.47,1,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
92,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,3,11,49,0.049,11,True,stimulus-16,2,True,False,green,True,0.49,2,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
93,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,3,11,98,0.098,11,True,stimulus-11,2,True,True,green,False,0.48,3,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
94,blue,100,49,51,False,blue,asocial-none,True,blue,0.49,1,3,11,101,0.101,11,True,stimulus-13,2,True,True,blue,True,0.51,4,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
95,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,3,11,102,0.102,11,True,stimulus-2,2,True,True,blue,True,0.52,6,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
96,blue,100,52,48,False,blue,asocial-none,True,blue,0.52,1,3,11,48,0.048,11,True,stimulus-3,2,True,False,green,True,0.48,7,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
97,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,3,11,102,0.102,11,True,stimulus-14,2,True,True,blue,True,0.52,5,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
98,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,3,11,98,0.098,11,True,stimulus-15,2,True,True,green,False,0.48,8,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
99,blue,100,49,51,False,blue,asocial-none,True,blue,0.49,1,3,11,101,0.101,11,True,stimulus-9,2,True,True,blue,True,0.51,9,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
100,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,3,11,51,0.051,11,True,stimulus-5,2,True,False,blue,False,0.51,10,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
101,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,3,11,102,0.102,11,True,stimulus-6,2,True,True,blue,True,0.52,13,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
102,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,3,11,99,0.099,11,True,stimulus-4,2,True,True,green,False,0.49,11,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
103,green,100,52,48,False,blue,asocial-none,True,blue,0.52,1,3,11,98,0.098,11,True,stimulus-7,2,True,True,green,False,0.48,12,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
104,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,3,11,52,0.052,11,True,stimulus-10,2,True,False,blue,False,0.52,14,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
105,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,3,11,51,0.051,11,True,stimulus-17,2,True,False,blue,False,0.51,15,1.4,none,11,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
